description,amount,category,date
Rent,3500,Housing,05/31/2025
Groceries - Safeway,120,Groceries,06/01/2025
Public Transit - Clipper,4,Transportation,06/01/2025
Coffee - Blue Bottle,6,Food & Drink,06/01/2025
Lunch - Sweetgreen,15,Food & Drink,06/02/2025
Amazon Web Services,30,Utilities,06/02/2025
Spotify Subscription,10,Entertainment,06/02/2025
Groceries - Trader Joe's,80,Groceries,06/03/2025
Uber to Work,18,Transportation,06/03/2025
Coffee - Philz,5,Food & Drink,06/03/2025
Lunch - Chipotle,14,Food & Drink,06/04/2025
GitHub Subscription,7,Utilities,06/04/2025
Movie - AMC Metreon,16,Entertainment,06/04/2025
Groceries - Whole Foods,95,Groceries,06/05/2025
Public Transit - Clipper,4,Transportation,06/05/2025
Coffee - Blue Bottle,6,Food & Drink,06/05/2025
Lunch - Local Cafe,13,Food & Drink,06/06/2025
Amazon Purchase,45,Shopping,06/06/2025
Apple iCloud,3,Utilities,06/06/2025
Groceries - Safeway,110,Groceries,06/07/2025
Uber to Friend's Place,22,Transportation,06/07/2025
Coffee - Ritual,5,Food & Drink,06/07/2025
Lunch - Sweetgreen,15,Food & Drink,06/08/2025
Netflix Subscription,16,Entertainment,06/08/2025
Public Transit - Clipper,4,Transportation,06/08/2025
Groceries - Trader Joe's,85,Groceries,06/09/2025
Coffee - Philz,5,Food & Drink,06/09/2025
Lunch - Chipotle,14,Food & Drink,06/09/2025
Amazon Web Services,30,Utilities,06/10/2025
Spotify Subscription,10,Entertainment,06/10/2025
Groceries - Whole Foods,100,Groceries,06/10/2025
Public Transit - Clipper,4,Transportation,06/11/2025
Coffee - Blue Bottle,6,Food & Drink,06/11/2025
Lunch - Local Cafe,13,Food & Drink,06/11/2025
Uber to Work,18,Transportation,06/12/2025
Apple iCloud,3,Utilities,06/12/2025
Groceries - Safeway,115,Groceries,06/12/2025
Lunch - Sweetgreen,15,Food & Drink,06/13/2025
Amazon Purchase,60,Shopping,06/13/2025
GitHub Subscription,7,Utilities,06/13/2025
Groceries - Trader Joe's,90,Groceries,06/14/2025
Public Transit - Clipper,4,Transportation,06/14/2025
Coffee - Ritual,5,Food & Drink,06/14/2025
Lunch - Chipotle,14,Food & Drink,06/15/2025
Netflix Subscription,16,Entertainment,06/15/2025
Groceries - Whole Foods,105,Groceries,06/15/2025
Public Transit - Clipper,4,Transportation,06/16/2025
Coffee - Blue Bottle,6,Food & Drink,06/16/2025
Lunch - Local Cafe,13,Food & Drink,06/16/2025
Uber to Work,18,Transportation,06/17/2025
Amazon Web Services,30,Utilities,06/17/2025
Groceries - Safeway,120,Groceries,06/17/2025
Spotify Subscription,10,Entertainment,06/18/2025
Coffee - Philz,5,Food & Drink,06/18/2025
Lunch - Sweetgreen,15,Food & Drink,06/18/2025
Groceries - Trader Joe's,95,Groceries,06/19/2025
Apple iCloud,3,Utilities,06/19/2025
Public Transit - Clipper,4,Transportation,06/19/2025
Coffee - Blue Bottle,6,Food & Drink,06/20/2025
Lunch - Chipotle,14,Food & Drink,06/20/2025
Amazon Purchase,50,Shopping,06/20/2025
Groceries - Whole Foods,110,Groceries,06/21/2025
Public Transit - Clipper,4,Transportation,06/21/2025
Coffee - Ritual,5,Food & Drink,06/21/2025
